;;;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;;;;;;;
"Player
?";Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Jones El-Abdellaoui;ma MAR;MF,FW;Celta Vigo;19;2006;22;4;681;7.6;2;0;2;2;0;0;0;0;0.26;0.00;0.26;0.26;0.26;0.26;2.24;0.53;23.5;2.25;0.53;0.12;0.50;0.00;0.00
Tay Abed;il ISR;MF;Levante;21;2004;7;0;93;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;50.0;1.94;0.97;0.00;0.00;0.00;0.00
Abdel Abqar;ma MAR;DF;Getafe;26;1999;23;17;1,437;16.0;0;2;2;0;0;0;10;1;0.00;0.13;0.13;0.00;0.13;0.00;0.44;0.06;14.3;0.44;0.06;0.00;0.00;0.00;0.00
Akor Adams;ng NGA;FW;Sevilla;25;2000;32;21;2,064;22.9;10;3;13;7;3;3;3;0;0.44;0.13;0.57;0.31;0.44;0.44;2.66;1.31;49.2;2.66;1.31;0.16;0.33;0.13;0.13
Adrián;es ESP;GK;Real Betis;38;1987;1;1;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
David Affengruber;at AUT;DF;Elche;24;2001;36;33;2,949;32.8;1;1;2;1;0;0;7;1;0.03;0.03;0.06;0.03;0.06;0.03;0.43;0.12;28.6;0.43;0.12;0.07;0.25;0.00;0.00
Julen Agirrezabala;es ESP;GK;Valencia;24;2000;18;18;1,62;18.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Lucien Agoume;fr FRA;MF;Sevilla;23;2002;34;31;2,686;29.8;1;3;4;1;0;0;12;0;0.03;0.10;0.13;0.03;0.13;0.03;0.50;0.07;13.3;0.50;0.07;0.07;0.50;0.00;0.00
Diego Aguado;es ESP;DF;Real Madrid;18;2007;1;0;30;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Marc Aguado;es ESP;MF;Elche;25;2000;35;30;2,5;27.8;1;2;3;1;0;0;3;0;0.04;0.07;0.11;0.04;0.11;0.04;0.11;0.07;66.7;0.11;0.07;0.33;0.50;0.00;0.00
Pablo Agudín;es ESP;MF;Oviedo;17;2007;7;0;90;1.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.0;2.00;0.00;0.00;;0.00;0.00
Ibai Aguirre;es ESP;MF;Real Sociedad;18;2007;1;0;6;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Lucas Ahijado;es ESP;DF;Oviedo;30;1995;20;11;1,098;12.2;0;1;1;0;0;0;3;0;0.00;0.08;0.08;0.00;0.08;0.00;0.82;0.16;20.0;0.82;0.16;0.00;0.00;0.00;0.00
Joseph Aidoo;gh GHA;DF;Celta Vigo;29;1995;8;7;639;7.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.28;0.00;0.0;0.28;0.00;0.00;;0.00;0.00
Ilias Akhomach;ma MAR;MF;Villarreal;21;2004;9;2;188;2.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.28;0.76;33.3;2.28;0.76;0.00;0.00;0.00;0.00
Ilias Akhomach;ma MAR;MF,FW;Rayo Vallecano;21;2004;11;7;709;7.9;0;1;1;0;0;0;2;0;0.00;0.13;0.13;0.00;0.13;0.00;2.86;0.95;33.3;2.87;0.96;0.00;0.00;0.00;0.00
David Alaba;at AUT;DF;Real Madrid;33;1992;11;5;424;4.7;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.85;0.21;25.0;0.85;0.21;0.00;0.00;0.00;0.00
Alexandre Alemão;br BRA;FW;Rayo Vallecano;27;1998;26;11;1,136;12.6;4;0;4;4;0;0;3;0;0.32;0.00;0.32;0.32;0.32;0.32;2.06;0.95;46.2;2.06;0.95;0.15;0.33;0.00;0.00
Carles Aleñá;es ESP;MF;Alavés;27;1998;34;23;1,989;22.1;0;4;4;0;0;0;5;0;0.00;0.18;0.18;0.00;0.18;0.00;1.31;0.23;17.2;1.31;0.23;0.00;0.00;0.00;0.00
Trent Alexander-Arnold;eng ENG;DF;Real Madrid;26;1998;21;14;1,163;12.9;0;4;4;0;0;0;4;0;0.00;0.31;0.31;0.00;0.31;0.00;0.78;0.16;20.0;0.77;0.15;0.00;0.00;0.00;0.00
Alfon;es ESP;MF;Sevilla;26;1999;10;4;312;3.5;1;0;1;1;0;0;0;0;0.29;0.00;0.29;0.29;0.29;0.27;1.62;0.81;50.0;1.62;0.81;0.17;0.33;0.00;0.00
Alfon;es ESP;MF;Villarreal;26;1999;10;3;333;3.7;1;0;1;1;0;0;0;0;0.27;0.00;0.27;0.27;0.27;0.29;3.14;2.00;63.6;3.17;2.02;0.09;0.14;0.00;0.00
Thiago Almada;ar ARG;MF,FW;Atlético Madrid;24;2001;27;16;1,311;14.6;3;1;4;3;0;0;2;1;0.21;0.07;0.27;0.21;0.27;0.21;1.44;0.68;47.6;1.44;0.69;0.14;0.30;0.00;0.00
André Almeida;pt POR;MF;Valencia;25;2000;22;11;1,017;11.3;0;2;2;0;0;0;0;0;0.00;0.18;0.18;0.00;0.18;0.00;0.80;0.27;33.3;0.80;0.27;0.00;0.00;0.00;0.00
Marcos Alonso;es ESP;DF;Celta Vigo;34;1990;32;31;2,768;30.8;1;0;1;0;1;1;5;0;0.03;0.00;0.03;0.00;0.00;0.03;0.78;0.10;12.5;0.78;0.10;0.04;0.33;0.03;0.03
Adrià Altimira;es ESP;DF,MF;Villarreal;24;2001;1;0;9;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Sergi Altimira;es ESP;MF;Real Betis;23;2001;24;13;1,186;13.2;1;2;3;1;0;0;3;0;0.08;0.15;0.23;0.08;0.23;0.08;0.53;0.23;42.9;0.53;0.23;0.14;0.33;0.00;0.00
Carlos Álvarez;es ESP;MF;Levante;21;2003;30;23;1,89;21.0;3;1;4;3;0;0;3;0;0.14;0.05;0.19;0.14;0.19;0.14;1.43;0.52;36.7;1.43;0.52;0.10;0.27;0.00;0.00
Hugo Álvarez;es ESP;FW,MF;Celta Vigo;22;2003;28;15;1,34;14.9;4;2;6;4;0;0;2;0;0.27;0.13;0.40;0.27;0.40;0.27;0.94;0.54;57.1;0.94;0.54;0.29;0.50;0.00;0.00
Julián Álvarez;ar ARG;FW;Atlético Madrid;25;2000;29;22;1,895;21.1;8;4;12;6;2;3;2;0;0.38;0.19;0.57;0.28;0.47;0.38;2.56;1.23;48.1;2.56;1.23;0.15;0.31;0.09;0.14
Yeray Álvarez;es ESP;DF;Athletic Club;30;1995;7;6;513;5.7;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.18;0.00;0.0;0.18;0.00;0.00;;0.00;0.00
Sofyan Amrabat;ma MAR;MF;Real Betis;28;1996;17;14;1,295;14.4;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.56;0.07;12.5;0.56;0.07;0.00;0.00;0.00;0.00
Manuel Ángel;es ESP;MF;Real Madrid;21;2004;4;1;96;1.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.82;0.91;50.0;1.87;0.94;0.00;0.00;0.00;0.00
Miguel Ángel Rubio;es ESP;DF;Espanyol;27;1998;12;1;206;2.3;1;0;1;1;0;0;0;0;0.44;0.00;0.44;0.44;0.44;0.43;0.87;0.43;50.0;0.87;0.44;0.50;1.00;0.00;0.00
Miguel Ángel Sierra;es ESP;FW;Sevilla;21;2004;4;0;62;0.7;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;5.71;1.43;25.0;5.81;1.45;0.00;0.00;0.00;0.00
Andrés Antañón;es ESP;FW;Celta Vigo;18;2007;2;1;63;0.7;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.86;2.86;100.0;2.86;2.86;0.00;0.00;0.00;0.00
Antoniu;es ESP;MF;Espanyol;22;2002;13;3;289;3.2;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;1.56;0.31;20.0;1.56;0.31;0.00;0.00;0.00;0.00
Antony;br BRA;MF,FW;Real Betis;25;2000;32;30;2,447;27.2;8;6;14;8;0;0;6;1;0.29;0.22;0.51;0.29;0.51;0.29;3.31;1.25;37.8;3.31;1.25;0.09;0.24;0.00;0.00
Mauro Arambarri;uy URU;MF;Getafe;29;1995;37;37;3,249;36.1;6;2;8;4;2;3;6;0;0.17;0.06;0.22;0.11;0.17;0.17;1.61;0.53;32.8;1.61;0.53;0.10;0.32;0.06;0.08
Jon Aramburu;ve VEN;DF;Real Sociedad;23;2002;35;31;2,773;30.8;1;0;1;1;0;0;11;0;0.03;0.00;0.03;0.03;0.03;0.03;0.68;0.16;23.8;0.68;0.16;0.05;0.20;0.00;0.00
Juan Arango;ve VEN;MF;Girona;19;2006;2;0;18;0.2;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Ronald Araújo;uy URU;DF;Barcelona;26;1999;24;11;1,071;11.9;3;0;3;3;0;0;2;0;0.25;0.00;0.25;0.25;0.25;0.25;1.01;0.42;41.7;1.01;0.42;0.25;0.60;0.00;0.00
Jesús Areso;es ESP;DF;Athletic Club;26;1999;26;14;1,506;16.7;0;1;1;0;0;0;3;0;0.00;0.06;0.06;0.00;0.06;0.00;0.18;0.00;0.0;0.18;0.00;0.00;;0.00;0.00
Iñigo Arguibide;es ESP;DF;Osasuna;20;2005;6;2;187;2.1;0;0;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Kervin Arriaga;hn HON;MF;Levante;27;1998;27;16;1,532;17.0;3;3;6;3;0;0;8;1;0.18;0.18;0.35;0.18;0.35;0.18;0.94;0.35;37.5;0.94;0.35;0.19;0.50;0.00;0.00
Takuma Asano;jp JPN;MF,FW;Mallorca;30;1994;20;8;664;7.4;1;0;1;1;0;0;2;0;0.14;0.00;0.14;0.14;0.14;0.14;2.30;0.27;11.8;2.30;0.27;0.06;0.50;0.00;0.00
Raúl Asencio;es ESP;DF;Real Madrid;22;2003;23;18;1,708;19.0;2;0;2;2;0;0;4;0;0.11;0.00;0.11;0.11;0.11;0.11;0.74;0.21;28.6;0.74;0.21;0.14;0.50;0.00;0.00
Iago Aspas;es ESP;FW,MF;Celta Vigo;37;1987;32;11;1,14;12.7;5;3;8;3;2;2;4;0;0.39;0.24;0.63;0.24;0.47;0.39;2.20;0.94;42.9;2.21;0.95;0.18;0.42;0.16;0.16
Yaser Asprilla;co COL;FW,MF;Girona;21;2003;15;6;611;6.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.21;0.74;33.3;2.21;0.74;0.00;0.00;0.00;0.00
Lander Astiazaran;es ESP;MF;Real Sociedad;19;2006;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;1;0;0.0;90.00;0.00;0.00;;0;0
Ezequiel Ávila;ar ARG;FW;Real Betis;31;1994;16;3;380;4.2;1;0;1;0;1;1;3;0;0.24;0.00;0.24;0.00;0.00;0.24;1.90;0.48;25.0;1.89;0.47;0.13;0.50;0.24;0.24
César Azpilicueta;es ESP;DF;Sevilla;35;1989;17;17;1,213;13.5;0;1;1;0;0;0;4;0;0.00;0.07;0.07;0.00;0.07;0.00;0.07;0.00;0.0;0.07;0.00;0.00;;0.00;0.00
Álex Baena;es ESP;MF,FW;Atlético Madrid;24;2001;27;21;1,56;17.3;2;3;5;2;0;0;5;0;0.12;0.17;0.29;0.12;0.29;0.12;1.68;0.40;24.1;1.67;0.40;0.07;0.29;0.00;0.00
Eric Bailly;ci CIV;DF;Oviedo;31;1994;15;15;1,234;13.7;1;0;1;1;0;0;3;0;0.07;0.00;0.07;0.07;0.07;0.07;0.44;0.07;16.7;0.44;0.07;0.17;1.00;0.00;0.00
Cédric Bakambu;cd COD;FW;Real Betis;34;1991;18;5;569;6.3;3;1;4;3;0;0;1;0;0.47;0.16;0.63;0.47;0.63;0.48;3.33;1.43;42.9;3.32;1.42;0.14;0.33;0.00;0.00
Alejandro Balde;es ESP;DF;Barcelona;21;2003;28;21;1,869;20.8;0;2;2;0;0;0;2;0;0.00;0.10;0.10;0.00;0.10;0.00;0.48;0.05;10.0;0.48;0.05;0.00;0.00;0.00;0.00
Carlos Ballestero;es ESP;DF;Alavés;21;2004;1;0;1;0.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0;0;;0.00;0.00;;;0;0
Iván Balliu;al ALB;DF;Rayo Vallecano;33;1992;14;6;582;6.5;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.62;0.00;0.0;0.62;0.00;0.00;;0.00;0.00
Roony Bardghji;se SWE;MF,FW;Barcelona;19;2005;21;7;648;7.2;1;1;2;1;0;0;0;0;0.14;0.14;0.28;0.14;0.28;0.14;3.06;1.67;54.5;3.06;1.67;0.05;0.08;0.00;0.00
Kike Barja;es ESP;MF;Osasuna;28;1997;27;2;446;5.0;2;2;4;2;0;0;3;0;0.40;0.40;0.81;0.40;0.81;0.40;1.60;0.80;50.0;1.61;0.81;0.25;0.50;0.00;0.00
Ander Barrenetxea;es ESP;MF;Real Sociedad;23;2001;30;22;1,763;19.6;3;5;8;3;0;0;5;0;0.15;0.26;0.41;0.15;0.41;0.15;1.79;0.56;31.4;1.79;0.56;0.09;0.27;0.00;0.00
Pablo Barrios;es ESP;MF;Atlético Madrid;22;2003;23;20;1,661;18.5;1;1;2;1;0;0;0;0;0.05;0.05;0.11;0.05;0.11;0.05;1.24;0.32;26.1;1.25;0.33;0.04;0.17;0.00;0.00
Marc Bartra;es ESP;DF;Real Betis;34;1991;25;21;1,978;22.0;1;0;1;1;0;0;3;0;0.05;0.00;0.05;0.05;0.05;0.05;0.73;0.23;31.3;0.73;0.23;0.06;0.20;0.00;0.00
Augusto Batalla;ar ARG;GK;Rayo Vallecano;29;1996;34;34;3,06;34.0;0;0;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Samu Becerra;es ESP;MF;Rayo Vallecano;19;2006;3;0;12;0.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Sheraldo Becker;sr SUR;FW,MF;Osasuna;30;1995;9;0;158;1.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;0.0;1.71;0.00;0.00;;0.00;0.00
Donny van de Beek;nl NED;MF;Girona;28;1997;2;1;41;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;50.0;4.39;2.20;0.00;0.00;0.00;0.00
Luken Beitia;es ESP;DF;Real Sociedad;21;2004;2;1;95;1.1;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Ismael Bekhoucha;ma MAR;DF;Getafe;20;2004;4;1;122;1.4;0;1;1;0;0;0;2;0;0.00;0.74;0.74;0.00;0.74;0.00;0.71;0.00;0.0;0.74;0.00;0.00;;0.00;0.00
Rayane Belaid;es ESP;MF,FW;Atlético Madrid;20;2005;2;2;132;1.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.67;0.00;0.0;2.73;0.00;0.00;;0.00;0.00
Héctor Bellerín;es ESP;DF;Real Betis;30;1995;27;20;1,822;20.2;2;3;5;2;0;0;2;0;0.10;0.15;0.25;0.10;0.25;0.10;0.35;0.25;71.4;0.35;0.25;0.29;0.40;0.00;0.00
Jude Bellingham;eng ENG;MF;Real Madrid;22;2003;28;22;1,916;21.3;6;4;10;6;0;0;3;0;0.28;0.19;0.47;0.28;0.47;0.28;2.39;1.22;51.0;2.40;1.22;0.12;0.23;0.00;0.00
Fran Beltrán;es ESP;MF;Celta Vigo;26;1999;10;7;528;5.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.09;0.89;0.27;30.0;0.89;0.27;0.10;0.33;0.00;0.00
Fran Beltrán;es ESP;MF;Girona;26;1999;17;11;1,012;11.2;1;0;1;1;0;0;3;0;0.09;0.00;0.09;0.09;0.09;0.00;1.02;0.17;16.7;1.02;0.17;0.00;0.00;0.00;0.00
Lucas Beltrán;ar ARG;FW;Valencia;24;2001;27;16;1,365;15.2;1;2;3;1;0;0;1;0;0.07;0.13;0.20;0.07;0.20;0.07;2.24;0.59;26.5;2.24;0.59;0.03;0.11;0.00;0.00
Carlos Benavídez;uy URU;DF;Alavés;27;1998;13;3;324;3.6;0;0;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.83;0.56;66.7;0.83;0.56;0.00;0.00;0.00;0.00
Iker Benito;es ESP;MF;Osasuna;22;2002;6;1;159;1.8;1;0;1;1;0;0;1;0;0.57;0.00;0.57;0.57;0.57;0.56;1.11;0.56;50.0;1.13;0.57;0.50;1.00;0.00;0.00
Yuri Berchiche;es ESP;DF;Athletic Club;35;1990;32;31;2,705;30.1;0;6;6;0;0;0;5;0;0.00;0.20;0.20;0.00;0.20;0.00;0.80;0.17;20.8;0.80;0.17;0.00;0.00;0.00;0.00
Álex Berenguer;es ESP;MF;Athletic Club;30;1995;31;25;2,154;23.9;2;3;5;2;0;0;4;0;0.08;0.13;0.21;0.08;0.21;0.08;1.84;0.84;45.5;1.84;0.84;0.05;0.10;0.00;0.00
Lucas Bergström;fi FIN;GK;Mallorca;22;2002;5;5;450;5.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Marc Bernal;es ESP;MF;Barcelona;18;2007;22;9;790;8.8;2;1;3;2;0;0;4;0;0.23;0.11;0.34;0.23;0.34;0.23;0.80;0.23;28.6;0.80;0.23;0.29;1.00;0.00;0.00
Pedro Bigas;es ESP;DF;Elche;34;1990;28;25;2,063;22.9;1;3;4;1;0;0;5;1;0.04;0.13;0.17;0.04;0.17;0.04;0.44;0.13;30.0;0.44;0.13;0.10;0.33;0.00;0.00
Veljko Birman?evi?;rs SRB;FW;Getafe;27;1998;6;1;142;1.6;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;1.25;0.63;50.0;1.27;0.63;0.00;0.00;0.00;0.00
Antonio Blanco;es ESP;MF;Alavés;25;2000;36;36;3,11;34.6;2;3;5;2;0;0;9;0;0.06;0.09;0.14;0.06;0.14;0.06;1.16;0.38;32.5;1.16;0.38;0.05;0.15;0.00;0.00
Daley Blind;nl NED;DF;Girona;35;1990;31;30;2,606;29.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.03;20.0;0.17;0.03;0.00;0.00;0.00;0.00
Adam Boayar;ma MAR;MF;Elche;19;2005;7;0;104;1.2;1;0;1;1;0;0;0;0;0.87;0.00;0.87;0.87;0.87;0.83;4.17;1.67;40.0;4.33;1.73;0.20;0.50;0.00;0.00
Adama Boiro;es ESP;DF;Athletic Club;23;2002;14;8;815;9.1;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.0;0.22;0.00;0.00;;0.00;0.00
Rahim Bonkano;ne NIG;DF;Oviedo;23;2002;27;18;1,713;19.0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.30;0.61;0.30;50.0;0.60;0.30;0.50;1.00;0.00;0.00
Javier Boñar;es ESP;DF;Atlético Madrid;20;2005;4;3;299;3.3;1;0;1;1;0;0;0;0;0.30;0.00;0.30;0.30;0.30;0.00;0.16;0.00;0.0;0.16;0.00;0.00;;0.00;0.00
Thiago Borbas;uy URU;FW;Oviedo;23;2002;12;0;179;2.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;2.50;1.00;40.0;2.51;1.01;0.00;0.00;0.00;0.00
Sebastián Boselli;uy URU;DF;Getafe;21;2003;11;4;380;4.2;0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.95;0.24;25.0;0.95;0.24;0.00;0.00;0.00;0.00
Lucas Boyé;ar ARG;FW;Alavés;29;1996;29;22;1,958;21.8;11;1;12;8;3;3;4;1;0.51;0.05;0.55;0.37;0.41;0.50;2.89;0.96;33.3;2.90;0.97;0.17;0.52;0.14;0.14
Enzo Boyomo;cm CMR;DF;Osasuna;23;2001;30;29;2,542;28.2;1;2;3;1;0;0;7;0;0.04;0.07;0.11;0.04;0.11;0.04;0.39;0.14;36.4;0.39;0.14;0.09;0.25;0.00;0.00
Josip Brekalo;hr CRO;MF,FW;Oviedo;27;1998;14;6;486;5.4;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.56;33.3;1.67;0.56;0.00;0.00;0.00;0.00
Abel Bretones;es ESP;MF,DF;Osasuna;24;2000;28;17;1,624;18.0;1;2;3;1;0;0;5;1;0.06;0.11;0.17;0.06;0.17;0.06;0.61;0.17;27.3;0.61;0.17;0.09;0.33;0.00;0.00
Brugui;es ESP;MF,FW;Levante;28;1996;19;10;1,005;11.2;1;1;2;1;0;0;1;1;0.09;0.09;0.18;0.09;0.18;0.09;2.50;0.80;32.1;2.51;0.81;0.04;0.11;0.00;0.00
Tajon Buchanan;ca CAN;MF;Villarreal;26;1999;34;21;1,819;20.2;7;1;8;7;0;0;8;0;0.35;0.05;0.40;0.35;0.40;0.35;1.34;0.54;40.7;1.34;0.54;0.26;0.64;0.00;0.00
Ante Budimir;hr CRO;FW;Osasuna;34;1991;37;35;2,938;32.6;17;0;17;11;6;8;3;0;0.52;0.00;0.52;0.34;0.34;0.52;3.16;1.26;39.8;3.16;1.26;0.17;0.41;0.18;0.25
Manu Bueno;es ESP;MF;Sevilla;21;2004;8;2;272;3.0;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.67;0.00;0.0;0.66;0.00;0.00;;0.00;0.00
Pau Cabanes;es ESP;FW;Villarreal;20;2005;1;0;16;0.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Jorge Cabello;es ESP;DF;Levante;21;2004;5;4;362;4.0;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Leandro Cabrera;uy URU;DF;Espanyol;34;1991;37;37;3,33;37.0;3;0;3;3;0;0;4;0;0.08;0.00;0.08;0.08;0.08;0.08;1.08;0.32;30.0;1.08;0.32;0.08;0.25;0.00;0.00
Miguel Calatayud;es ESP;DF;Mallorca;19;2006;2;0;43;0.5;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.0;2.09;0.00;0.00;;0.00;0.00
Calebe;br BRA;MF;Alavés;25;2000;19;13;752;8.4;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.12;20.0;0.60;0.12;0.00;0.00;0.00;0.00
Fernando Calero;es ESP;DF;Espanyol;29;1995;28;24;2,148;23.9;0;0;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.04;8.3;0.50;0.04;0.00;0.00;0.00;0.00
Duje ?aleta-Car;hr CRO;DF;Real Sociedad;28;1996;27;24;2,15;23.9;1;0;1;1;0;0;6;1;0.04;0.00;0.04;0.04;0.04;0.04;0.54;0.13;23.1;0.54;0.13;0.08;0.33;0.00;0.00
Dani Calvo;es ESP;DF;Oviedo;31;1994;20;17;1,611;17.9;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.0;0.17;0.00;0.00;;0.00;0.00
Dawda Camara;mr MTN;FW;Girona;22;2002;2;1;72;0.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;2.50;1.25;50.0;2.50;1.25;0.00;0.00;0.00;0.00
Eduardo Camavinga;fr FRA;MF;Real Madrid;22;2002;29;16;1,528;17.0;1;0;1;1;0;0;2;0;0.06;0.00;0.06;0.06;0.06;0.06;0.76;0.12;15.4;0.77;0.12;0.08;0.50;0.00;0.00
Sergio Camello;es ESP;FW,MF;Rayo Vallecano;24;2001;22;8;823;9.1;5;1;6;5;0;0;3;1;0.55;0.11;0.66;0.55;0.66;0.55;2.97;1.54;51.9;2.95;1.53;0.19;0.36;0.00;0.00
João Cancelo;pt POR;DF;Barcelona;31;1994;16;11;954;10.6;2;2;4;2;0;0;1;0;0.19;0.19;0.38;0.19;0.38;0.19;1.23;0.38;30.8;1.23;0.38;0.15;0.50;0.00;0.00
Dani Cárdenas;es ESP;GK;Rayo Vallecano;28;1997;4;4;360;4.0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
Sergi Cardona;es ESP;DF;Villarreal;26;1999;31;20;1,97;21.9;1;4;5;1;0;0;4;0;0.05;0.18;0.23;0.05;0.23;0.05;0.82;0.23;27.8;0.82;0.23;0.06;0.20;0.00;0.00
Fábio Cardoso;pt POR;DF;Sevilla;31;1994;4;4;295;3.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;0.00;0.00
